education_id,EdLevel,candidate_id
744,Undergraduate,744
745,Master,745
746,Master,746
747,Other,747
748,Undergraduate,748
749,Undergraduate,749
750,Master,750
751,Undergraduate,751
752,Undergraduate,752
753,Master,753
754,Undergraduate,754
755,Undergraduate,755
756,Undergraduate,756
757,Undergraduate,757
758,Master,758
759,PhD,759
760,Other,760
761,Master,761
762,Undergraduate,762
763,Master,763
764,Master,764
765,Other,765
766,Other,766
767,Master,767
768,Undergraduate,768
769,Other,769
770,Undergraduate,770
771,Master,771
772,PhD,772
773,Master,773
774,Master,774
775,Undergraduate,775
776,Undergraduate,776
777,Master,777
778,Master,778
779,Master,779
780,Undergraduate,780
781,Undergraduate,781
782,Undergraduate,782
783,Undergraduate,783
784,Undergraduate,784
785,Undergraduate,785
786,Other,786
787,Undergraduate,787
788,Undergraduate,788
789,Master,789
790,Other,790
791,Other,791
792,Other,792
793,Master,793
794,Undergraduate,794
795,Master,795
796,Master,796
797,Master,797
798,Undergraduate,798
799,Undergraduate,799
800,Undergraduate,800
801,Master,801
802,Undergraduate,802
803,Undergraduate,803
804,Master,804
805,Other,805
806,Undergraduate,806
807,Undergraduate,807
808,Undergraduate,808
809,Master,809
810,Undergraduate,810
811,Undergraduate,811
812,Master,812
813,Undergraduate,813
814,Undergraduate,814
815,Master,815
816,Undergraduate,816
817,Undergraduate,817
818,Undergraduate,818
819,Undergraduate,819
820,Undergraduate,820
821,Other,821
822,Master,822
823,Other,823
824,NoHigherEd,824
825,Other,825
826,Other,826
827,Other,827
828,Master,828
829,Master,829
830,Master,830
831,Undergraduate,831
832,PhD,832
833,Undergraduate,833
834,Undergraduate,834
835,Undergraduate,835
836,Master,836
837,Undergraduate,837
838,Other,838
839,Master,839
840,Master,840
841,Undergraduate,841
842,Master,842
843,Master,843
844,Undergraduate,844
845,Master,845
846,Undergraduate,846
847,Undergraduate,847
848,Master,848
849,Undergraduate,849
850,Master,850
851,Undergraduate,851
852,Master,852
853,Undergraduate,853
854,PhD,854
855,Master,855
856,Other,856
857,Undergraduate,857
858,Undergraduate,858
859,Undergraduate,859
860,Undergraduate,860
861,Other,861
862,Undergraduate,862
863,Master,863
864,Undergraduate,864
865,Undergraduate,865
866,Undergraduate,866
867,NoHigherEd,867
868,PhD,868
869,Master,869
870,Undergraduate,870
871,Master,871
872,Undergraduate,872
873,Undergraduate,873
874,Master,874
875,Undergraduate,875
876,Master,876
877,Master,877
878,Undergraduate,878
879,Undergraduate,879
880,Undergraduate,880
881,Undergraduate,881
882,Other,882
883,Undergraduate,883
884,Undergraduate,884
885,Master,885
886,Undergraduate,886
887,Master,887
888,Undergraduate,888
889,Master,889
890,Undergraduate,890
891,Master,891
892,Master,892
893,Master,893
894,Undergraduate,894
895,Undergraduate,895
896,Undergraduate,896
897,Undergraduate,897
898,Undergraduate,898
899,Undergraduate,899
900,Undergraduate,900
901,Other,901
902,Master,902
903,Master,903
904,Master,904
905,Undergraduate,905
906,Undergraduate,906
907,Undergraduate,907
908,NoHigherEd,908
909,Other,909
910,Master,910
911,Undergraduate,911
912,Undergraduate,912
913,Undergraduate,913
914,Undergraduate,914
915,Undergraduate,915
916,Other,916
917,Other,917
918,Undergraduate,918
919,Undergraduate,919
920,Master,920
921,Undergraduate,921
922,Master,922
923,Other,923
924,Master,924
925,Master,925
926,Undergraduate,926
927,Master,927
928,Undergraduate,928
929,Undergraduate,929
930,Undergraduate,930
931,NoHigherEd,931
932,Undergraduate,932
933,Master,933
934,Master,934
935,Undergraduate,935
936,Master,936
937,Undergraduate,937
938,Other,938
939,Master,939
940,Undergraduate,940
941,Undergraduate,941
942,Other,942
943,Undergraduate,943
944,Undergraduate,944
945,PhD,945
946,Undergraduate,946
947,Undergraduate,947
948,Master,948
949,Other,949
950,PhD,950
951,Undergraduate,951
952,Undergraduate,952
953,Other,953
954,Undergraduate,954
955,Master,955
956,Other,956
957,NoHigherEd,957
958,Undergraduate,958
959,Undergraduate,959
960,Undergraduate,960
961,Undergraduate,961
962,PhD,962
963,Undergraduate,963
964,Master,964
965,Undergraduate,965
966,Undergraduate,966
967,Master,967
968,Master,968
969,Undergraduate,969
970,Other,970
971,Master,971
972,Master,972
973,Undergraduate,973
974,Other,974
975,Other,975
976,Other,976
977,Master,977
978,Master,978
979,Master,979
980,Master,980
981,Other,981
982,Undergraduate,982
983,Undergraduate,983
984,Undergraduate,984
985,Master,985
986,Undergraduate,986
987,Master,987
988,Master,988
989,Undergraduate,989
990,PhD,990
991,Undergraduate,991
992,Undergraduate,992
993,Undergraduate,993
994,Master,994
995,Undergraduate,995
996,Master,996
997,Master,997
998,PhD,998
999,Undergraduate,999
1000,Master,1000
1001,Undergraduate,1001
1002,Master,1002
1003,Undergraduate,1003
1004,NoHigherEd,1004
1005,Master,1005
1006,Other,1006
1007,PhD,1007
1008,Undergraduate,1008
1009,Master,1009
1010,Master,1010
1011,Undergraduate,1011
1012,Master,1012
1013,Other,1013
1014,Undergraduate,1014
1015,Master,1015
1016,Master,1016
1017,Other,1017
1018,Master,1018
1019,Undergraduate,1019
1020,Master,1020
1021,Master,1021
1022,Master,1022
1023,NoHigherEd,1023
1024,Undergraduate,1024
1025,Undergraduate,1025
1026,Undergraduate,1026
1027,Master,1027
1028,NoHigherEd,1028
